Token_Type,Token,Surprisal_Score
Original,"Ġpo",10.6518
Original,"lyn",3.8673
Original,"omial",0.0542
Original,"Ġfunction",4.2669
Original,"Ġhas",4.8646
Original,"Ġone",4.9388
Original,"Ġturning",12.4226
Original,"Ġpoint",1.2461
Original,"Ġwhere",4.5177
Original,"Ġit",1.4362
Original,"Ġreaches",6.3056
Original,"Ġa",1.7148
Original,"Ġlocal",8.0436
Original,"Ġmaximum",3.7140
Original,"Ġand",2.2735
Original,"Ġanother",2.6610
Original,"Ġturning",1.9974
Original,"Ġpoint",0.0083
Original,"Ġwhere",0.1456
Original,"Ġit",0.1438
Original,"Ġreaches",1.0078
Original,"Ġa",0.5271
Original,"Ġlocal",2.0373
Original,"Ġminimum",0.3003
Original,".",0.2762
Original,"ĠThe",1.7854
Original,"Ġgraph",7.1282
Original,"Ġof",2.8627
Original,"Ġthe",1.1715
Original,"Ġfunction",3.9895
Original,"Ġpasses",8.6888
Original,"Ġthrough",1.1022
Original,"Ġthe",1.4971
Original,"Ġpoint",4.2023
Original,"Ġwhere",3.5159
Original,"Ġthe",0.6830
Original,"Ġinput",7.1192
Original,"Ġis",1.5893
Original,"Ġzero",3.1902
Original,"Ġand",1.0106
Original,"Ġthe",0.3985
Original,"Ġoutput",0.7380
Original,"Ġis",0.2251
Original,"Ġfour",6.5468
Original,".",0.8794
Original,"ĠThe",1.4891
Original,"Ġrate",7.5664
Original,"Ġof",0.7026
Original,"Ġchange",1.2725
Original,"Ġof",1.3846
Original,"Ġthe",0.4960
Original,"Ġfunction",2.4828
Original,"Ġis",0.7667
Original,"Ġzero",3.8717
Original,"Ġat",3.6584
Original,"Ġinputs",9.5791
Original,"Ġof",2.4459
Original,"Ġone",2.9457
Original,"Ġand",2.0161
Original,"Ġthree",3.7903
Original,".",1.5609
Original,"ĠDeter",10.4332
Original,"mine",0.8488
Original,"Ġthe",0.6850
Original,"Ġgeneral",7.1708
Original,"Ġshape",5.3222
Original,"Ġof",0.1607
Original,"Ġthe",0.3042
Original,"Ġgraph",2.7250
Original,",",3.3924
Original,"Ġthe",3.1601
Original,"Ġintervals",7.5761
Original,"Ġwhere",4.5566
Original,"Ġthe",0.6005
Original,"Ġfunction",2.8182
Original,"Ġincreases",5.3495
Original,"Ġor",2.0360
Original,"Ġdecreases",0.0282
Original,",",1.2034
Original,"Ġand",0.5637
Original,"Ġdescribe",7.3855
Original,"Ġhow",2.0002
Original,"Ġthe",0.8189
Original,"Ġfunction",1.4409
Original,"Ġbehaves",3.9495
Original,"Ġas",2.6457
Original,"Ġthe",2.3574
Original,"Ġinput",2.9690
Original,"Ġbecomes",4.3191
Original,"Ġvery",7.4330
Original,"Ġlarge",1.2441
Original,"Ġor",3.5540
Original,"Ġvery",1.4710
Original,"Ġsmall",0.0518
Original,".",0.2003
Optimized,"nom",9.7930
Optimized,"ial",0.4563
Optimized,"Ġfunction",4.8929
Optimized,"Ġhas",5.6882
Optimized,"Ġone",5.4938
Optimized,"Ġturning",11.8440
Optimized,"Ġpoint",1.5264
Optimized,"Ġwhere",4.4964
Optimized,"Ġit",1.6594
Optimized,"Ġreaches",5.5130
Optimized,"Ġlocal",10.2273
Optimized,"Ġmaximum",4.8644
Optimized,"Ġand",2.4586
Optimized,"Ġanother",3.1697
Optimized,"Ġturning",1.6021
Optimized,"Ġpoint",0.0110
Optimized,"Ġwhere",0.1478
Optimized,"Ġit",0.1106
Optimized,"Ġreaches",1.0422
Optimized,"Ġlocal",2.4003
Optimized,"Ġminimum",0.2311
Optimized,"Ġ.",4.6678
Optimized,"Ġgraph",12.3287
Optimized,"Ġof",5.2288
Optimized,"Ġfunction",4.0521
Optimized,"Ġpasses",8.4113
Optimized,"Ġthrough",2.4290
Optimized,"Ġpoint",4.9915
Optimized,"Ġwhere",3.7646
Optimized,"Ġinput",7.3868
Optimized,"Ġzero",6.3509
Optimized,"Ġand",2.7985
Optimized,"Ġoutput",0.4162
Optimized,"Ġfour",4.9506
Optimized,"Ġ.",3.6000
Optimized,"Ġrate",9.7918
Optimized,"Ġof",0.9940
Optimized,"Ġchange",1.3229
Optimized,"Ġof",1.4031
Optimized,"Ġfunction",1.8966
Optimized,"Ġzero",7.8935
Optimized,"Ġat",4.9926
Optimized,"Ġinputs",6.7436
Optimized,"Ġof",3.8382
Optimized,"Ġone",3.0054
Optimized,"Ġand",1.7611
Optimized,"Ġthree",3.6455
Optimized,"Ġ.",1.9054
Optimized,"Ġdetermine",9.1269
Optimized,"Ġgeneral",8.3013
Optimized,"Ġshape",5.3420
Optimized,"Ġof",0.2060
Optimized,"Ġgraph",2.1788
Optimized,"Ġ,",4.5377
Optimized,"Ġintervals",9.9575
Optimized,"Ġwhere",4.5074
Optimized,"Ġfunction",3.8443
Optimized,"Ġincreases",6.5165
Optimized,"Ġor",3.1332
Optimized,"Ġdecreases",0.0177
Optimized,"Ġ,",3.3068
Optimized,"Ġand",1.7380
Optimized,"Ġdescribe",9.6660
Optimized,"Ġhow",3.2265
Optimized,"Ġfunction",2.5899
Optimized,"Ġbehaves",3.7772
Optimized,"Ġas",2.6478
Optimized,"Ġinput",4.5504
Optimized,"Ġbecomes",5.8122
Optimized,"Ġvery",6.9600
Optimized,"Ġlarge",1.4611
Optimized,"Ġor",3.6191
Optimized,"Ġvery",1.3127
Optimized,"Ġsmall",0.0773
Optimized,"Ġ.",0.3917
